x,y,Ca,K,Fe,Zn,Cu,Mn,S,P,Cl,Si,Br,Sr
1,1,1.102,1.481,1.121,1.237,0.946,0.562,0.737,1.038,0.915,0.928,0.769,1.051
1,2,1.594,0.554,1.205,2.021,2.094,1.564,0.972,0.962,1.085,0.996,1.86,1.379
1,3,1.683,0.222,0.951,2.075,1.402,1.194,1.979,1.406,2.538,0.819,1.303,0.477
1,4,1.02,0.661,0.878,1.921,0.275,1.7,1.013,1.789,1.636,1.115,1.406,1.421
1,5,0.707,1.077,1.825,0.74,0.194,1.425,1.75,0.836,1.463,1.095,1.423,1.847
1,6,0.945,1.966,1.042,1.916,1.981,1.452,0.495,0.857,1.526,1.645,1.318,1.492
1,7,1.828,0.317,1.064,1.932,1.048,0.837,0.813,0.456,0.46,1.585,1.019,0.834
1,8,1.633,1.862,1.755,0.85,2.12,1.61,0.348,0.804,1.51,1.401,1.909,2.145
1,9,0.943,2.101,0.506,0.591,1.676,1.038,1.835,0.896,1.561,1.861,1.855,2.05
1,10,1.636,1.072,1.861,1.422,1.405,1.142,1.632,1.499,0.548,0.858,1.966,1.992
1,11,0.273,1.051,1.362,2.103,1.645,1.085,0.962,0.216,1.317,0.256,1.316,1.184
1,12,0.497,0.86,0.357,1.454,0.413,1.378,0.146,1.866,0.211,1.131,0.403,1.709
1,13,2.095,0.926,1.739,1.755,0.908,1.137,1.547,2.044,0.761,0.0,1.33,1.777
1,14,1.319,1.51,1.798,1.555,1.989,1.896,0.973,1.806,1.213,1.584,1.752,1.736
1,15,1.495,1.711,1.362,1.948,0.28,1.769,1.827,1.662,1.13,2.178,0.61,0.639
1,16,0.419,1.172,1.55,1.038,0.733,0.489,1.005,1.588,1.295,0.871,0.569,1.463
1,17,1.836,1.682,1.477,1.044,1.394,1.005,1.596,1.092,0.936,1.246,0.497,2.506
1,18,2.281,1.691,2.004,0.82,0.747,2.146,0.451,0.77,1.771,1.098,1.928,0.225
1,19,2.576,1.44,1.565,0.976,1.121,1.0,1.616,2.222,0.865,2.027,1.458,0.809
1,20,1.455,1.417,0.773,2.0,1.82,0.467,1.505,0.571,0.833,0.691,1.19,0.755
1,21,1.406,1.31,1.072,0.481,0.557,1.965,0.766,1.135,1.999,0.966,1.848,1.283
1,22,1.112,1.53,1.015,1.48,1.68,0.653,0.786,1.844,1.397,1.762,2.234,1.002
1,23,1.267,1.977,0.727,1.54,0.924,0.707,0.879,0.982,0.896,1.687,1.837,1.981
1,24,0.696,1.568,1.279,0.454,1.723,0.204,1.949,1.383,1.409,1.868,0.106,1.719
1,25,0.097,2.208,0.64,1.402,1.291,0.445,2.0,1.161,1.656,1.534,1.42,0.862
1,26,1.217,0.531,1.128,1.748,1.442,1.481,0.623,0.578,1.92,0.844,1.327,1.648
1,27,1.914,0.838,1.324,0.95,2.044,0.975,0.109,0.616,1.482,0.919,1.392,1.364
1,28,1.203,1.055,0.88,1.575,1.662,1.838,1.573,0.565,1.138,1.996,1.16,0.754
1,29,2.323,1.73,1.887,1.518,1.629,1.509,0.298,0.735,0.72,1.481,1.009,1.811
1,30,0.747,0.737,1.938,1.245,2.122,1.094,1.949,1.56,1.884,0.587,0.624,1.267
1,31,0.835,1.033,1.674,1.267,0.768,0.931,1.746,0.568,0.625,1.384,1.709,0.782
1,32,1.993,0.635,0.332,2.093,1.916,0.455,2.262,1.493,1.354,0.789,0.891,2.013
1,33,1.991,2.536,1.707,0.922,1.687,1.537,1.129,1.386,1.065,1.639,1.653,0.631
1,34,1.491,2.058,0.8,0.497,1.558,2.309,1.722,0.973,1.754,0.432,0.811,0.867
1,35,1.194,1.029,1.254,1.291,0.914,1.083,1.279,1.221,0.854,0.849,0.982,2.179
1,36,0.703,0.56,1.974,1.913,0.0,0.618,1.295,1.854,1.471,1.722,0.512,0.552
1,37,0.489,1.594,1.432,1.86,0.35,0.34,0.36,1.209,0.245,1.353,0.834,0.46
1,38,0.589,1.047,2.009,1.407,0.382,1.378,1.12,1.229,1.575,1.117,1.477,1.064
1,39,0.725,1.638,1.184,1.965,1.744,1.54,0.334,0.877,1.127,1.785,0.207,1.702
1,40,0.46,0.372,1.452,1.745,1.215,1.594,0.891,1.768,1.521,1.935,1.75,1.574
1,41,0.805,1.165,0.654,0.098,1.617,0.345,0.52,1.083,1.819,1.448,1.311,1.099
1,42,1.628,1.153,1.543,2.208,2.029,0.835,2.025,2.536,1.725,1.393,2.008,1.477
1,43,1.243,1.332,1.589,1.234,0.587,0.979,1.187,0.0,0.111,0.966,1.575,0.554
1,44,1.741,0.672,0.946,1.501,1.82,0.755,1.111,1.291,1.288,0.7,1.064,0.545
1,45,0.659,1.379,1.303,1.782,0.587,1.424,0.584,2.074,0.629,1.168,1.313,1.536
1,46,0.73,2.502,0.575,1.276,0.688,0.995,1.854,0.176,1.323,0.504,1.914,1.782
1,47,1.703,1.456,2.104,0.349,0.655,0.721,0.846,0.78,0.791,0.921,1.531,1.929
1,48,0.594,1.55,1.52,0.934,2.038,1.674,1.219,0.629,0.365,1.273,0.797,0.708
1,49,1.403,0.99,0.62,1.487,1.964,1.264,0.853,0.372,1.865,0.482,1.623,1.251
1,50,1.581,1.643,1.409,1.487,1.168,0.944,0.851,1.354,2.021,1.006,2.086,1.29
2,1,0.871,1.128,1.28,1.277,2.371,1.108,1.507,1.161,1.151,1.673,1.924,1.531
2,2,1.024,0.829,1.113,2.55,1.393,0.851,0.098,1.414,1.496,1.867,1.583,1.916
2,3,0.531,1.157,1.958,0.717,1.791,1.781,0.475,1.466,0.269,1.551,0.579,1.381
2,4,2.162,1.731,0.534,0.854,1.346,1.232,0.857,1.991,0.813,1.577,0.87,1.851
2,5,1.092,0.969,0.504,1.671,1.674,1.27,1.54,2.341,0.592,1.13,1.134,2.038
2,6,0.542,0.879,1.006,1.631,2.228,0.539,0.497,2.015,1.352,1.714,1.481,1.715
2,7,1.631,1.691,1.043,2.549,1.527,2.144,1.023,0.523,1.488,0.394,1.174,1.188
2,8,0.988,1.358,0.997,0.664,1.706,0.901,1.123,2.164,0.884,0.717,1.467,1.158
2,9,1.79,1.408,1.441,1.033,2.194,1.419,0.839,2.212,2.009,0.895,0.812,0.847
2,10,0.481,0.993,1.431,2.327,0.845,1.757,1.727,0.303,0.567,1.923,1.669,1.697
2,11,0.915,0.931,1.438,0.939,0.164,1.379,1.919,1.768,0.859,1.62,1.577,0.935
2,12,0.634,0.583,1.453,1.891,0.684,1.151,1.492,1.276,1.395,0.742,0.229,1.31
2,13,1.442,0.609,1.161,2.038,1.937,2.542,1.281,0.511,1.508,1.758,1.012,1.237
2,14,1.574,1.58,0.885,2.09,0.981,1.094,1.055,1.304,1.486,1.6,0.761,1.816
2,15,1.188,0.889,1.167,2.12,1.642,1.591,1.219,2.022,1.76,0.88,0.644,1.218
2,16,0.549,1.745,1.852,1.769,2.145,1.523,2.369,2.064,1.451,1.422,0.987,0.806
2,17,2.047,0.277,1.918,1.832,0.855,0.465,0.538,1.515,0.403,2.115,1.784,0.494
2,18,0.486,1.056,0.638,1.321,1.88,1.015,1.601,0.851,1.163,0.927,1.611,1.426
2,19,0.858,2.113,1.112,0.413,1.63,1.1,0.29,1.409,1.138,1.83,1.102,0.391
2,20,1.948,1.128,0.513,1.161,1.672,0.921,1.051,0.525,1.172,1.131,2.177,1.142
2,21,1.095,1.959,1.654,0.515,0.884,0.934,0.644,1.029,1.709,0.931,0.318,0.479
2,22,0.796,0.378,1.176,1.361,2.403,1.437,1.025,0.918,1.051,0.55,1.86,1.157
2,23,0.486,1.464,0.804,0.493,1.806,1.26,1.786,0.745,0.286,1.173,1.867,1.524
2,24,1.606,1.353,0.794,1.207,1.411,1.214,0.851,1.478,0.988,1.909,1.032,1.039
2,25,2.032,0.608,1.539,0.996,0.747,1.114,0.838,1.806,1.684,0.692,1.942,1.063
2,26,0.835,1.007,1.866,1.281,0.558,0.179,1.966,0.636,0.462,1.744,1.102,1.326
2,27,1.418,1.178,1.987,1.017,0.995,2.316,1.289,1.511,0.904,2.299,1.517,1.099
2,28,0.0,0.848,2.093,0.926,0.731,0.79,0.568,1.266,1.798,1.843,1.579,1.033
2,29,0.693,0.112,2.139,1.809,0.946,0.826,1.122,0.636,1.077,2.149,2.067,0.467
2,30,1.179,1.282,1.283,0.77,0.979,2.01,1.957,1.667,1.136,0.959,0.806,1.399
2,31,1.095,2.081,1.445,1.471,0.838,1.821,1.544,1.552,1.645,1.873,1.516,1.291
2,32,1.616,2.07,1.783,1.647,2.1,1.238,1.701,1.254,1.445,1.324,0.098,0.731
2,33,1.162,1.359,1.154,1.046,1.283,1.083,1.511,1.59,1.84,0.623,1.245,1.47
2,34,1.26,1.888,0.535,1.141,1.02,1.87,0.997,1.281,0.323,0.235,1.83,0.9
2,35,0.587,0.0,1.37,1.4,0.988,0.977,0.495,0.484,0.893,1.568,0.41,0.554
2,36,1.131,1.129,1.885,2.165,0.368,0.679,0.961,0.364,0.76,1.863,1.895,1.232
2,37,0.75,0.912,1.275,1.605,1.829,1.566,1.914,0.6,0.512,1.251,0.829,0.435
2,38,0.772,1.018,0.563,1.849,1.146,0.731,0.811,0.952,1.161,0.58,1.517,1.261
2,39,1.675,0.476,1.36,1.678,1.386,2.024,0.429,1.13,0.619,1.204,1.022,0.576
2,40,1.02,1.668,0.587,1.133,0.581,1.76,2.477,1.917,0.973,1.175,0.443,1.685
2,41,1.601,1.046,1.441,2.12,1.991,1.275,1.739,1.654,1.374,1.309,0.381,1.454
2,42,0.618,0.467,0.775,0.725,1.976,0.164,1.401,1.568,0.682,1.741,0.606,0.875
